SBD,Toan,Van,Anh,Ly,Hoa,Sinh
52000964,8.20,7.25,7.40,6.75,8.50,5.50
52000965,8.40,7.50,9.00,8.75,7.75,5.00
52000966,7.00,6.75,7.40,6.00,7.00,4.50
52000967,8.20,8.00,7.60,8.25,8.25,4.50
52000968,7.60,7.25,7.80,5.25,4.75,5.00
52000969,7.40,4.50,8.20,7.25,3.75,3.00
52000970,None,None,None,None,None,None
52000971,8.40,8.50,9.00,7.00,7.00,5.25
52000972,6.60,6.75,2.40,None,None,None
52000973,8.20,6.00,9.00,8.50,8.50,6.25
52000974,7.60,7.00,8.60,6.50,7.75,5.00
52000975,7.60,8.00,6.40,6.00,7.00,5.25
52000976,7.60,7.25,8.40,6.50,6.75,4.25
52000977,7.80,8.25,6.40,6.25,7.50,7.00
52000978,6.80,6.50,6.40,6.50,6.50,6.00
52000979,8.40,8.75,9.40,9.00,7.25,6.75
52000980,8.20,8.00,9.40,None,None,None
52000981,7.80,7.50,9.00,5.25,4.50,4.75
52000982,7.00,8.00,5.80,5.00,7.75,7.00
52000983,8.20,7.00,7.00,5.00,8.75,5.75
52000984,8.60,8.75,8.00,None,None,None
52000985,8.20,7.75,8.80,6.50,6.75,6.50
52000986,8.20,9.25,7.60,None,None,None
52000987,8.00,7.25,8.80,7.50,6.50,5.25
52000988,7.80,8.50,8.60,None,None,None
52000989,8.00,8.00,9.20,8.00,8.50,8.25
52000990,4.80,5.25,2.60,None,None,None
52000991,7.40,7.25,8.20,8.50,6.75,4.50
52000992,8.40,7.00,8.60,7.25,8.50,5.25
52000993,None,None,None,None,None,None
52000994,6.80,5.00,3.80,None,None,None
52000995,6.00,6.50,5.80,6.00,4.50,4.75
52000996,8.20,7.75,8.60,6.75,8.25,5.00
52000997,7.00,6.75,7.60,3.25,4.25,3.50
52000998,9.00,7.00,6.80,6.75,8.50,5.25
52000999,7.80,7.50,6.60,5.75,5.50,5.00
52001000,7.80,6.25,8.80,9.00,6.50,6.00
52001001,7.40,7.25,7.80,7.25,8.00,6.50
52001002,7.60,7.25,None,6.00,8.25,5.00
52001003,8.40,8.50,9.40,8.25,7.50,5.75
52001004,8.20,7.25,6.20,7.25,7.25,5.00
52001005,8.00,7.75,6.20,7.50,8.75,4.75
52001006,8.20,7.25,8.00,7.00,7.25,4.25
52001007,7.80,8.25,6.80,5.25,8.50,6.25
52001008,7.40,7.00,6.20,7.50,7.00,4.75
52001009,7.40,4.50,8.00,6.25,6.00,3.50
52001010,8.00,6.50,8.40,None,None,None
52001011,7.60,7.25,7.40,None,None,None
52001012,7.60,7.25,7.20,None,None,None
52001013,8.60,7.50,8.60,None,None,None
52001014,7.40,7.25,8.80,7.25,5.75,3.50
52001015,7.80,8.25,6.20,None,None,None
52001016,7.40,7.75,6.80,None,None,None
52001017,8.80,7.50,9.40,7.25,6.75,6.75
52001018,8.40,7.75,8.00,7.50,8.25,4.25
52001019,7.20,6.00,6.20,7.75,7.25,5.00
52001020,8.00,7.50,7.80,8.75,7.00,6.25
52001021,8.00,7.25,6.20,7.00,5.75,3.00
52001022,9.00,8.00,9.00,8.25,8.25,4.75
52001023,7.80,6.50,7.00,4.75,4.50,3.00
52001024,7.00,6.25,7.60,5.25,7.00,4.00
52001025,8.20,5.50,9.00,8.25,8.25,5.25
52001026,8.40,8.25,8.00,9.00,8.25,6.75
52001027,7.60,7.75,7.00,None,None,None
52001028,8.20,6.50,8.60,6.75,5.25,4.00
52001029,6.80,7.25,7.00,None,None,None
