SBD,Toan,Van,Anh,Ly,Hoa,Sinh
52005820,6.80,7.75,7.20,None,None,None
52005821,8.40,7.75,5.40,7.00,7.25,4.00
52005822,6.20,5.75,3.20,None,None,None
52005823,7.00,7.00,7.40,None,None,None
52005824,7.40,7.25,4.40,7.00,7.50,4.50
52005825,8.20,6.00,5.40,8.25,6.75,3.75
52005826,6.80,5.25,4.60,6.00,6.75,5.00
52005827,None,2.50,None,None,None,None
52005828,7.60,7.75,5.00,5.50,7.25,5.75
52005829,8.00,6.50,6.80,8.75,9.25,4.50
52005830,7.00,8.50,4.80,None,None,None
52005831,8.60,8.00,5.60,7.25,8.25,5.50
52005832,7.40,7.14,4.20,6.25,6.50,4.50
52005833,7.60,7.50,6.00,6.75,8.50,5.00
52005834,6.80,7.50,3.00,6.50,4.50,3.50
52005835,7.00,8.25,6.00,6.50,7.50,5.50
52005836,8.40,6.75,6.40,7.25,7.50,6.00
52005837,8.00,6.50,8.80,6.50,6.25,4.25
52005838,8.80,7.00,4.60,8.00,8.75,2.50
52005839,7.20,7.25,6.80,5.00,7.25,5.75
52005840,7.60,7.25,7.20,7.00,6.00,4.75
52005841,8.00,6.75,6.00,7.25,6.75,6.25
52005842,None,4.50,None,None,None,None
52005843,8.00,7.75,6.40,None,None,None
52005844,None,5.75,None,None,None,None
52005845,8.40,None,None,7.75,8.00,3.50
52005846,None,5.50,None,None,None,None
52005847,8.40,8.75,8.00,None,None,None
52005848,6.60,7.00,3.60,None,None,None
52005849,7.00,6.25,3.00,None,None,None
52005850,7.60,8.00,8.20,None,None,None
52005851,6.40,7.00,5.60,None,None,None
52005852,5.60,7.00,4.40,None,None,None
52005853,8.00,None,6.80,7.25,None,None
52005854,6.00,5.75,7.60,None,None,None
52005855,5.40,5.25,3.40,None,None,None
52005856,7.20,8.00,None,None,None,None
52005857,6.80,6.25,5.60,None,None,None
52005858,8.20,7.75,8.40,None,None,None
52005859,7.00,6.75,6.00,None,None,None
52005860,5.60,6.25,4.60,None,None,None
52005861,7.60,6.75,8.00,None,None,None
52005862,7.20,8.00,8.80,None,None,None
52005863,7.00,7.00,4.80,None,None,None
52005864,6.80,6.50,8.20,None,None,None
52005865,5.60,7.25,5.60,None,None,None
52005866,6.60,6.75,7.00,None,None,None
52005867,None,6.75,None,None,None,None
52005868,6.40,7.25,5.40,None,None,None
52005869,8.20,7.50,5.20,None,None,None
52005870,8.00,6.75,6.80,None,None,None
52005871,6.00,7.00,5.00,None,None,None
52005872,5.60,7.25,4.40,None,None,None
52005873,7.00,8.25,7.40,None,None,None
52005874,7.00,6.00,5.00,None,None,None
52005875,5.80,7.50,4.40,None,None,None
52005876,6.60,9.25,5.20,None,None,None
52005877,8.00,8.50,6.20,None,None,None
52005878,5.60,7.25,2.80,None,None,None
52005879,6.00,7.00,3.40,None,None,None
52005880,7.20,7.50,3.80,None,None,None
52005881,5.60,7.50,4.60,None,None,None
52005882,7.80,8.50,9.40,None,None,None
52005883,6.20,7.25,5.20,None,None,None
52005884,5.60,8.00,3.00,None,None,None
52005885,7.80,6.75,7.80,None,None,None
52005886,7.80,6.91,7.80,None,None,None
52005887,7.20,None,6.00,5.50,None,None
52005888,6.40,7.25,4.80,6.75,5.25,6.00
52005889,7.80,7.41,7.80,7.00,7.75,7.75
52005890,1.80,5.25,4.20,None,None,None
52005891,7.00,8.00,6.40,None,None,None
52005892,8.20,8.25,8.40,7.00,7.75,6.25
52005893,5.60,7.75,5.60,None,None,None
52005894,7.60,8.00,8.20,7.75,5.00,5.50
52005895,7.20,8.75,6.00,None,None,None
52005896,9.40,7.50,6.80,8.50,9.00,5.00
52005897,8.20,7.75,9.00,9.25,6.00,5.75
52005898,6.80,8.00,4.20,None,None,None
52005899,6.00,6.75,3.60,4.25,3.50,4.25
52005900,6.20,7.50,4.60,None,None,None
52005901,6.60,7.00,3.20,None,None,None
52005902,6.60,7.25,3.60,None,None,None
52005903,7.80,6.75,5.60,6.00,7.25,4.75
52005904,None,5.75,None,None,None,None
52005905,7.20,6.50,4.60,None,None,None
52005906,7.00,7.75,5.40,None,None,None
52005907,8.60,6.50,4.80,7.50,8.25,6.50
52005908,7.20,7.50,4.40,7.00,6.75,5.50
52005909,5.80,6.75,5.60,4.50,6.00,3.75
52005910,7.60,8.00,6.60,None,None,None
52005911,6.20,6.50,4.20,None,None,None
52005912,6.80,7.00,7.00,6.25,5.75,6.00
52005913,6.20,6.50,4.40,None,None,None
52005914,7.40,7.25,7.40,3.50,5.25,4.75
52005915,7.80,8.00,7.60,8.00,7.75,5.75
52005916,8.00,8.25,8.40,None,None,None
52005917,6.00,6.75,4.40,None,None,None
52005918,7.40,8.50,6.20,8.00,8.50,5.25
52005919,6.00,6.75,4.20,None,None,None
52005920,8.00,7.00,4.60,6.75,7.75,4.50
52005921,7.20,6.00,6.40,None,None,None
52005922,8.00,7.50,9.00,None,None,None
52005923,8.20,5.25,3.40,7.00,5.00,3.75
52005924,7.40,6.25,5.00,None,None,None
52005925,7.20,6.75,6.40,6.50,5.50,5.00
52005926,6.00,6.00,3.60,3.25,4.00,4.75
52005927,8.40,7.00,7.40,8.25,5.75,4.50
52005928,7.80,7.25,8.00,7.25,8.75,7.50
52005929,8.20,6.75,4.00,7.00,7.25,4.00
52005930,7.20,6.50,4.20,None,None,None
52005931,6.40,5.00,4.20,3.75,6.50,3.50
52005932,8.00,7.25,8.00,None,None,None
52005933,7.20,5.50,3.80,5.25,5.25,3.00
52005934,6.00,7.50,5.40,5.75,5.00,4.75
52005935,7.40,7.00,4.60,None,None,None
52005936,7.80,6.25,4.60,5.50,5.00,4.00
52005937,7.40,8.00,6.20,None,None,None
52005938,6.20,6.75,3.00,None,None,None
52005939,8.00,8.50,6.20,5.50,3.75,4.25
52005940,7.00,7.75,5.00,None,None,None
52005941,6.40,7.50,5.20,None,None,None
52005942,6.40,7.25,5.00,None,None,None
52005943,9.20,7.00,9.00,9.00,7.25,5.75
52005944,6.00,7.00,3.00,None,None,None
52005945,7.40,7.00,4.00,7.50,8.50,4.00
52005946,7.40,6.75,5.60,7.75,6.00,4.25
52005947,7.80,7.25,5.60,7.50,8.75,6.25
52005948,6.80,5.75,5.40,4.00,4.75,5.00
52005949,5.40,7.00,5.20,None,None,None
52005950,8.20,7.25,5.60,8.00,8.25,5.50
52005951,7.60,7.75,4.40,5.75,7.25,5.00
52005952,8.00,8.00,8.80,6.50,6.00,6.00
52005953,6.80,7.25,3.80,5.50,4.75,4.25
52005954,7.60,8.00,7.20,None,None,None
52005955,6.00,7.25,4.20,None,None,None
52005956,7.20,7.50,7.20,None,None,None
52005957,6.60,6.25,4.60,6.00,3.75,4.50
52005958,7.60,7.00,6.00,None,None,None
52005959,6.40,7.50,5.20,4.75,6.75,5.00
52005960,8.00,6.75,8.20,7.25,7.50,6.25
52005961,7.40,7.75,6.00,None,None,None
52005962,6.80,7.25,5.40,None,None,None
52005963,6.80,8.00,4.60,6.00,6.75,4.50
52005964,6.40,7.00,3.40,2.50,5.00,3.25
52005965,6.40,7.50,4.40,7.75,7.75,5.25
52005966,6.20,7.25,3.20,4.25,5.25,5.00
52005967,8.00,8.00,5.40,8.50,8.75,4.00
52005968,6.60,6.75,4.60,None,None,None
52005969,7.80,8.00,7.20,7.25,6.50,5.00
52005970,7.20,7.50,4.20,5.25,5.50,6.25
52005971,4.80,6.25,4.00,None,None,None
52005972,6.80,7.75,5.00,None,None,None
52005973,8.60,6.75,6.20,7.25,8.00,5.00
52005974,7.40,7.25,5.40,6.00,7.25,4.00
52005975,6.60,7.25,4.00,None,None,None
52005976,6.60,7.50,5.60,6.00,5.00,4.75
52005977,7.40,7.25,6.60,None,None,None
52005978,7.20,7.75,6.80,None,None,None
52005979,7.20,7.00,4.20,5.50,7.00,6.00
52005980,7.40,7.50,6.20,None,None,None
52005981,None,4.50,None,None,None,None
52005982,8.40,8.50,9.20,None,None,None
52005983,8.20,6.50,7.40,8.25,7.00,6.25
52005984,8.80,7.50,4.60,9.00,8.50,4.50
52005985,8.00,8.00,7.80,None,None,None
52005986,8.80,7.00,9.60,6.50,6.25,4.75
52005987,6.40,7.00,7.80,None,None,None
52005988,None,5.00,None,None,None,None
52005989,7.20,6.25,4.80,6.25,7.50,4.00
52005990,8.80,7.00,6.80,8.25,8.25,8.00
52005991,7.40,6.25,4.20,8.75,8.25,5.25
52005992,6.80,7.25,5.00,None,None,None
52005993,6.80,7.25,4.80,None,None,None
52005994,7.80,8.75,8.20,None,None,None
52005995,7.40,8.00,4.60,None,None,None
52005996,7.20,7.75,7.80,None,None,None
52005997,7.20,7.50,3.60,None,None,None
52005998,6.40,8.50,7.00,None,None,None
52005999,5.40,7.50,7.80,None,None,None
52006000,7.80,7.25,8.20,None,None,None
52006001,7.00,8.25,5.80,None,None,None
52006002,6.80,7.25,5.00,None,None,None
52006003,5.80,6.75,2.00,None,None,None
52006004,7.80,8.00,8.00,None,None,None
52006005,6.00,8.25,5.60,None,None,None
52006006,8.20,9.00,7.80,None,None,None
52006007,8.40,8.50,8.60,None,None,None
52006008,6.20,7.25,6.80,None,None,None
52006009,6.80,7.00,4.80,None,None,None
52006010,7.60,8.00,6.80,None,None,None
52006011,7.20,6.75,5.40,None,None,None
52006012,7.20,7.60,7.60,None,None,None
52006013,7.40,6.75,8.20,None,None,None
52006014,5.20,5.00,6.40,None,None,None
52006015,7.40,7.00,6.20,None,None,None
52006016,6.80,7.25,3.80,None,None,None
52006017,5.80,7.25,8.40,None,None,None
52006018,6.80,6.50,4.00,None,None,None
52006019,6.80,7.50,2.60,5.75,6.25,5.50
52006020,7.80,7.00,6.00,5.50,4.50,6.75
52006021,8.20,7.25,4.40,7.75,7.25,4.00
52006022,6.60,7.00,5.20,6.25,5.75,5.25
52006023,7.80,7.50,7.40,5.25,5.50,4.50
52006024,8.60,7.50,7.40,8.25,7.75,5.25
52006025,4.00,6.00,2.20,5.00,3.50,4.00
52006026,8.40,7.00,6.60,8.25,8.50,7.00
52006027,7.60,6.00,5.20,7.50,8.75,3.50
52006028,7.00,6.00,3.80,None,None,None
52006029,8.00,7.50,9.00,8.00,4.25,4.00
52006030,8.20,6.00,6.40,7.75,8.00,3.25
52006031,5.80,7.00,4.00,None,None,None
52006032,5.80,7.50,4.20,5.75,3.75,4.00
52006033,7.40,8.25,7.80,None,None,None
52006034,7.20,7.25,3.20,None,None,None
52006035,7.80,8.25,4.60,None,None,None
52006036,6.00,6.25,4.80,6.25,8.00,4.75
52006037,8.40,6.00,5.20,7.75,6.75,5.75
52006038,7.20,7.75,5.00,None,None,None
52006039,5.40,8.50,4.80,None,None,None
52006040,8.80,7.50,5.80,8.00,6.50,5.25
52006041,8.00,8.50,5.80,6.25,6.50,5.00
52006042,6.60,8.50,5.00,None,None,None
52006043,6.60,6.00,5.20,None,None,None
52006044,6.40,8.00,5.00,None,None,None
52006045,8.80,8.00,7.00,None,None,None
52006046,6.00,8.50,8.80,None,None,None
52006047,8.20,6.50,6.60,7.00,8.00,5.25
52006048,6.20,6.00,6.00,6.25,4.50,4.50
52006049,8.00,8.00,5.40,8.00,8.50,6.00
52006050,8.40,8.00,9.40,8.75,6.50,5.25
52006051,7.40,8.00,7.40,8.00,8.00,4.25
52006052,6.80,7.50,4.00,None,None,None
52006053,6.60,6.75,5.60,5.75,7.50,5.25
52006054,7.60,8.00,6.60,7.75,8.50,6.00
52006055,8.20,8.25,9.00,5.75,6.75,5.50
52006056,3.60,5.75,3.00,3.75,2.75,1.75
52006057,7.80,6.75,7.40,None,None,None
52006058,6.60,6.50,4.60,None,None,None
52006059,7.60,6.00,7.40,None,None,None
52006060,8.20,8.00,7.00,8.50,8.75,4.75
52006061,7.60,4.75,3.80,5.75,5.00,3.75
52006062,8.80,6.00,4.40,5.00,8.75,9.00
52006063,7.40,6.50,4.20,None,None,None
52006064,5.60,6.25,2.80,None,None,None
52006065,8.00,7.75,8.00,7.25,6.00,6.75
52006066,8.20,6.50,8.00,None,None,None
52006067,8.40,7.00,9.20,8.50,5.75,6.25
52006068,6.40,7.25,5.20,None,None,None
52006069,7.60,7.25,4.60,8.50,6.25,4.00
52006070,8.00,6.50,6.80,7.00,4.75,5.50
52006071,8.00,7.00,4.60,5.75,5.50,5.25
52006072,7.40,7.75,7.60,5.50,5.75,6.25
52006073,8.20,7.25,4.40,6.25,5.00,4.25
52006074,8.40,6.08,8.00,8.00,7.25,5.50
52006075,8.20,6.08,9.80,8.75,7.75,7.75
52006076,7.60,8.50,6.40,None,None,None
52006077,7.80,8.00,6.80,None,None,None
52006078,7.00,7.25,6.60,5.50,7.50,6.50
52006079,6.80,6.00,3.60,None,None,None
52006080,6.60,7.25,5.40,5.75,4.75,4.75
52006081,9.00,7.00,6.00,8.50,7.75,6.50
52006082,5.80,6.25,3.00,None,None,None
52006083,7.80,6.25,3.40,5.75,4.50,5.00
52006084,6.60,6.75,4.40,None,None,None
52006085,6.00,6.00,5.20,7.00,7.25,2.50
52006086,7.40,6.00,3.80,5.50,5.50,4.25
52006087,6.40,6.75,4.60,4.25,3.50,3.75
52006088,7.80,6.50,4.40,8.00,8.25,4.75
52006089,7.80,7.50,4.40,6.50,6.00,6.50
52006090,8.40,7.00,7.40,7.25,8.50,6.00
52006091,6.60,7.25,5.00,6.50,6.75,5.75
52006092,5.80,7.50,5.60,None,None,None
52006093,7.20,6.00,4.80,6.00,5.25,4.75
52006094,7.20,5.75,6.40,6.50,5.25,3.50
52006095,7.00,7.50,6.00,None,None,None
52006096,7.20,7.75,5.40,6.00,6.25,4.75
52006097,7.60,8.75,8.20,None,None,None
52006098,7.60,8.75,6.80,None,None,None
52006099,8.40,8.75,6.40,9.00,8.50,6.25
52006100,8.00,7.75,5.80,7.75,5.75,4.50
52006101,8.60,7.75,8.60,8.00,7.50,5.00
52006102,5.00,5.50,2.60,None,None,None
52006103,7.40,6.25,6.00,7.75,6.00,3.75
52006104,7.00,6.75,2.60,5.50,5.00,3.50
52006105,8.20,8.00,9.40,None,None,None
52006106,6.40,6.50,4.60,6.75,4.25,5.25
52006107,8.00,7.25,6.00,7.25,6.25,4.00
52006108,6.40,7.50,5.80,None,None,None
52006109,7.40,7.25,4.60,8.00,6.75,4.75
52006110,8.40,7.00,9.80,9.00,8.50,6.25
52006111,7.00,8.00,7.60,None,None,None
52006112,7.40,8.25,7.00,None,None,None
52006113,7.40,7.75,5.40,7.50,8.25,6.00
52006114,8.20,7.00,6.60,8.25,9.00,5.25
52006115,6.60,5.50,2.60,None,None,None
52006116,5.80,7.75,6.80,None,None,None
52006117,6.40,7.50,4.40,6.25,6.75,4.75
52006118,7.80,7.75,7.20,8.75,8.75,6.50
52006119,8.20,7.75,4.40,6.50,8.25,7.75
52006120,6.60,6.50,4.40,None,None,None
52006121,7.40,6.50,4.20,None,None,None
52006122,6.80,7.25,4.40,None,None,None
52006123,8.20,6.75,6.00,7.75,7.75,6.50
52006124,7.40,6.00,5.60,None,None,None
52006125,7.20,7.50,6.00,7.25,7.00,6.25
52006126,6.40,6.25,4.60,6.75,5.00,4.25
52006127,4.80,6.00,3.00,None,None,None
52006128,4.60,7.75,2.20,None,None,None
52006129,6.60,7.00,6.40,7.25,8.00,5.00
52006130,6.80,6.75,4.80,7.00,7.00,4.75
52006131,8.00,8.00,6.40,7.75,8.50,5.50
52006132,6.80,7.75,6.00,None,None,None
52006133,7.40,7.25,6.20,7.00,8.25,4.75
52006134,7.00,6.00,7.20,None,None,None
52006135,7.60,7.75,4.00,None,None,None
52006136,7.00,6.50,4.40,None,None,None
52006137,8.20,7.00,7.40,8.25,8.00,4.50
52006138,6.20,6.75,5.00,None,None,None
52006139,7.60,7.75,7.40,6.50,7.50,6.00
52006140,8.40,7.75,5.80,8.25,8.25,5.25
52006141,6.00,7.50,5.60,None,None,None
52006142,7.80,8.50,9.20,None,None,None
52006143,6.80,8.00,6.60,None,None,None
52006144,7.00,7.25,5.20,5.75,4.00,3.25
52006145,8.00,8.25,5.40,5.75,5.25,4.25
52006146,6.20,7.50,5.80,5.25,6.25,4.00
52006147,7.60,7.25,4.60,7.25,6.25,5.00
52006148,7.20,8.00,5.20,5.50,6.00,5.25
52006149,8.20,7.75,6.00,8.00,5.75,6.00
52006150,8.20,8.00,6.60,7.50,7.75,4.00
52006151,8.00,8.00,5.40,None,None,None
52006152,7.20,6.50,4.20,None,None,None
52006153,7.20,6.50,5.80,6.75,6.75,3.50
52006154,7.40,8.25,7.20,None,None,None
52006155,8.20,6.50,4.60,8.50,7.00,5.00
52006156,7.60,9.00,8.60,8.50,6.50,4.50
52006157,6.00,8.25,3.60,4.50,4.25,2.25
52006158,6.80,5.75,5.80,6.00,5.75,4.25
52006159,8.40,7.00,4.00,None,None,None
52006160,8.20,6.00,4.00,7.50,7.75,3.75
52006161,5.80,6.50,3.20,5.00,4.75,3.00
52006162,8.20,7.00,4.80,7.75,6.75,4.50
52006163,9.00,7.00,8.40,8.75,9.00,5.75
52006164,6.40,7.00,6.40,None,None,None
52006165,7.80,6.50,6.80,6.25,7.25,5.25
52006166,8.20,8.00,4.80,6.00,5.50,4.75
52006167,7.60,7.50,6.00,8.00,8.25,5.25
52006168,9.00,8.00,9.40,9.50,5.25,4.75
52006169,5.60,6.50,4.00,None,None,None
52006170,5.20,7.50,4.00,None,None,None
52006171,7.80,7.25,8.00,None,None,None
52006172,5.80,7.00,5.20,None,None,None
52006173,6.40,7.00,3.60,5.25,5.00,4.75
52006174,7.00,7.50,5.40,7.00,7.75,4.75
52006175,7.00,7.00,3.80,6.00,6.25,3.50
52006176,8.60,8.00,8.80,8.75,8.75,8.00
52006177,6.00,6.50,7.20,5.25,3.50,5.00
52006178,8.00,8.00,4.00,5.75,7.75,4.75
52006179,8.40,7.25,5.80,7.25,7.75,7.25
52006180,6.00,8.00,8.40,None,None,None
52006181,6.40,6.75,5.60,None,None,None
52006182,7.80,7.00,5.60,6.25,5.75,5.50
52006183,8.40,7.50,6.80,6.00,6.50,4.50
52006184,7.60,8.00,7.80,6.25,6.75,4.75
52006185,7.20,8.00,4.00,6.25,5.25,4.00
52006186,4.00,6.75,2.80,None,None,None
52006187,7.00,6.75,5.80,None,None,None
52006188,7.80,7.75,4.80,5.00,5.25,3.00
52006189,8.00,7.00,5.80,8.75,7.25,4.75
52006190,7.00,5.50,4.40,5.75,4.00,4.50
52006191,8.40,8.00,4.40,5.00,5.25,4.25
52006192,8.00,8.00,5.60,6.75,8.00,5.75
52006193,6.40,8.00,5.00,None,None,None
52006194,7.20,7.00,4.40,5.50,2.25,3.50
52006195,8.00,8.00,8.80,8.50,6.25,6.25
52006196,6.00,7.50,7.00,None,None,None
52006197,8.80,8.25,7.20,8.75,9.25,8.25
52006198,7.00,7.00,4.40,7.00,6.25,4.00
52006199,8.00,8.00,7.60,None,None,None
52006200,7.40,7.50,8.40,6.50,5.50,4.00
52006201,7.20,6.75,6.00,7.75,7.00,5.50
52006202,4.60,6.25,3.20,None,None,None
52006203,5.80,6.50,5.60,4.75,2.50,3.00
52006204,6.60,6.50,4.80,None,None,None
52006205,6.80,7.50,6.60,None,None,None
52006206,6.80,7.50,6.40,None,None,None
52006207,8.60,7.50,6.80,8.50,7.75,4.75
52006208,7.60,7.00,4.00,None,None,None
52006209,6.80,8.00,4.60,4.25,6.00,3.75
52006210,9.20,8.00,5.80,7.25,9.25,8.25
52006211,5.20,6.50,3.60,3.75,4.25,3.75
52006212,6.80,5.75,6.60,5.75,4.75,3.50
52006213,6.80,7.50,4.00,4.50,5.25,3.75
52006214,7.80,7.75,8.40,8.75,6.75,6.25
52006215,7.60,6.25,7.40,7.50,4.50,6.00
52006216,5.40,6.25,7.60,7.50,4.75,3.25
52006217,8.00,6.00,3.80,4.50,6.25,3.00
52006218,6.40,7.25,4.20,5.25,4.75,3.75
52006219,8.00,7.25,5.40,8.00,7.50,5.25
52006220,7.40,6.00,5.40,7.25,6.75,4.50
52006221,6.80,6.25,3.00,7.25,8.50,5.25
52006222,8.20,7.50,6.40,7.00,7.50,5.25
52006223,7.80,6.50,6.20,7.00,7.75,4.75
52006224,7.80,6.50,4.20,6.50,5.75,4.00
52006225,5.80,6.75,4.20,5.50,5.25,4.00
52006226,8.00,8.25,8.20,7.00,6.50,5.00
52006227,6.80,6.00,3.60,6.75,4.50,4.50
52006228,8.40,7.50,6.60,7.50,7.75,6.75
52006229,6.80,5.50,5.80,7.00,7.00,5.75
52006230,8.00,8.25,9.40,7.50,6.50,5.75
52006231,8.20,8.25,7.20,8.50,8.50,6.75
52006232,8.20,6.75,5.40,8.50,9.25,6.00
52006233,7.00,5.25,4.20,5.25,3.25,3.75
52006234,7.40,7.25,6.40,6.50,7.75,3.75
52006235,8.00,6.50,5.80,8.00,8.25,4.75
52006236,6.80,6.00,7.20,7.50,8.00,6.25
52006237,9.20,6.50,9.00,9.00,6.25,5.25
52006238,7.60,6.50,4.60,6.25,5.75,4.50
52006239,7.00,6.25,5.80,5.75,5.25,4.50
52006240,6.40,5.50,5.00,6.75,5.75,4.50
52006241,8.00,7.00,8.20,7.00,7.50,6.00
52006242,7.00,7.75,6.40,6.25,5.25,4.75
52006243,4.00,7.25,4.20,3.25,3.25,4.25
52006244,7.00,8.00,7.80,5.00,4.00,4.00
52006245,7.80,7.25,6.40,6.25,5.75,5.25
52006246,7.80,7.25,6.60,7.50,7.75,4.75
52006247,7.00,6.25,6.20,7.75,8.50,7.00
52006248,8.20,5.75,8.20,7.00,8.25,5.75
52006249,7.80,6.75,7.00,6.75,6.75,4.00
52006250,7.40,5.75,5.20,6.75,8.00,6.50
52006251,9.20,6.25,5.60,7.25,6.00,6.00
52006252,7.00,7.00,7.20,7.00,6.00,5.25
52006253,7.20,6.50,4.60,6.50,4.75,4.00
52006254,8.00,6.00,6.00,6.00,7.25,4.25
52006255,8.40,7.50,7.00,7.00,8.25,8.75
52006256,6.80,7.50,3.60,6.25,2.25,2.50
52006257,7.20,6.25,4.60,6.00,6.50,5.25
52006258,6.20,4.75,3.40,6.25,7.75,3.00
52006259,7.60,7.75,6.80,7.00,5.75,4.50
52006260,6.20,6.50,4.20,5.25,4.00,3.50
52006261,7.20,6.50,4.80,6.25,5.25,3.25
52006262,7.80,6.00,8.80,7.50,7.25,4.00
52006263,8.60,6.25,8.80,9.25,7.50,6.50
52006264,6.80,6.75,5.20,5.75,5.25,5.00
52006265,7.80,7.00,4.60,7.50,9.50,5.75
52006266,7.80,6.25,6.00,6.75,6.75,4.25
52006267,7.80,6.50,6.00,4.75,4.50,3.25
52006268,7.20,8.00,4.40,None,None,None
52006269,8.00,7.50,6.60,6.00,7.00,4.25
52006270,6.80,5.75,2.80,7.00,6.75,3.25
52006271,7.00,6.50,5.20,7.00,6.75,5.75
52006272,8.60,6.00,5.20,7.00,5.75,4.25
52006273,7.40,7.50,7.80,5.75,5.50,3.50
52006274,8.00,7.00,4.20,7.75,7.00,5.75
52006275,6.80,6.25,5.80,7.00,7.75,6.00
52006276,7.00,8.00,7.80,7.00,8.75,4.75
52006277,6.60,6.50,4.60,7.50,7.25,3.75
52006278,6.80,7.50,5.60,None,None,None
52006279,7.40,6.25,6.00,5.00,5.50,4.00
52006280,8.00,7.50,7.40,7.25,7.75,5.00
52006281,7.40,7.00,6.20,None,None,None
52006282,7.20,7.50,5.60,5.50,5.75,3.00
52006283,7.60,7.00,4.20,None,None,None
52006284,6.20,6.25,5.00,None,None,None
52006285,8.20,7.75,8.00,6.00,4.75,5.75
52006286,6.40,7.50,5.40,6.25,4.25,4.50
52006287,8.20,7.75,5.20,None,None,None
52006288,5.20,7.50,6.20,None,None,None
52006289,7.20,8.00,6.20,5.75,4.25,4.75
52006290,6.20,7.50,3.40,3.25,4.75,4.25
52006291,7.40,6.75,5.20,None,None,None
52006292,6.40,7.00,5.60,5.25,4.75,4.50
52006293,6.00,6.00,3.60,None,None,None
52006294,8.00,7.50,7.20,7.00,6.00,7.00
52006295,6.80,6.75,5.20,5.50,4.00,4.00
52006296,8.60,7.00,8.60,9.50,7.25,6.50
52006297,5.40,6.75,3.60,None,None,None
52006298,7.60,7.00,6.80,7.75,8.00,7.50
52006299,6.80,6.00,5.40,None,None,None
52006300,6.40,6.50,5.00,4.75,6.25,3.25
52006301,6.80,6.50,5.40,5.00,6.25,5.75
52006302,7.40,6.75,4.80,7.50,5.25,4.75
52006303,7.60,7.00,8.60,7.00,5.00,4.75
52006304,7.40,5.75,7.20,6.75,5.25,4.50
52006305,7.40,7.50,4.00,None,None,None
52006306,8.60,6.75,6.40,8.50,9.00,5.75
52006307,7.80,7.00,7.00,7.50,5.50,5.00
52006308,7.20,6.00,4.60,6.00,6.75,5.00
52006309,7.80,7.00,6.20,8.00,7.00,5.50
52006310,7.20,6.50,7.00,7.25,5.75,4.75
52006311,8.40,7.00,6.40,8.00,8.50,5.25
52006312,6.60,7.00,5.80,6.00,7.75,5.75
52006313,6.40,7.50,3.60,None,None,None
52006314,7.00,6.75,4.40,5.75,7.25,6.75
52006315,6.80,7.50,6.60,None,None,None
52006316,8.00,6.50,5.40,6.25,5.25,6.00
52006317,6.00,7.25,4.60,5.25,4.50,4.25
52006318,7.80,7.50,7.60,6.25,4.50,4.25
52006319,8.00,7.50,7.80,7.75,7.50,5.00
52006320,6.80,6.00,3.80,5.50,5.75,5.25
52006321,7.00,7.00,3.80,6.00,4.00,5.50
52006322,7.80,8.25,6.20,None,None,None
52006323,6.40,6.50,3.00,None,None,None
52006324,7.80,7.00,6.00,None,None,None
52006325,7.20,6.75,5.20,6.00,6.50,5.00
52006326,7.40,7.75,4.60,None,None,None
52006327,6.60,7.00,5.20,None,None,None
52006328,7.60,8.75,7.60,5.75,4.75,3.25
52006329,8.00,7.50,7.00,8.00,5.25,5.00
52006330,8.20,8.25,8.60,6.50,5.00,5.50
52006331,7.40,7.50,7.80,None,None,None
52006332,8.00,8.25,7.80,None,None,None
52006333,5.60,5.75,4.00,None,None,None
52006334,6.60,8.00,4.40,5.00,4.00,3.00
52006335,6.20,8.00,6.00,None,None,None
52006336,5.80,7.50,3.60,None,None,None
52006337,6.20,6.75,5.00,None,None,None
52006338,8.60,5.25,4.40,8.50,8.25,5.50
52006339,7.20,7.25,4.20,4.25,3.50,5.00
52006340,8.00,6.50,2.80,6.75,7.25,3.25
52006341,7.40,5.00,2.60,7.00,8.00,4.25
52006342,8.60,8.50,7.80,8.50,9.75,7.75
52006343,7.80,7.00,6.20,8.75,7.25,5.00
52006344,7.80,7.50,6.80,None,None,None
52006345,5.60,8.00,9.40,None,None,None
52006346,7.60,8.00,6.20,None,None,None
52006347,7.00,6.25,4.00,None,None,None
52006348,6.40,4.75,5.40,6.25,4.75,4.75
52006349,6.60,6.50,3.80,None,None,None
52006350,7.80,8.25,8.80,7.50,7.25,5.75
52006351,6.40,4.75,3.00,None,None,None
52006352,7.00,6.75,4.60,6.00,6.75,4.75
52006353,7.40,6.25,5.20,6.25,7.25,5.75
52006354,7.80,7.00,5.20,6.00,6.00,4.00
52006355,7.20,7.75,3.60,4.75,4.50,5.25
52006356,6.60,5.25,8.40,7.25,4.50,4.25
52006357,8.80,7.75,6.20,9.25,9.25,3.75
52006358,6.40,8.25,4.20,None,None,None
52006359,8.20,8.75,6.40,None,None,None
52006360,8.80,9.00,8.80,8.50,8.00,8.00
52006361,7.20,7.75,5.20,6.75,6.25,3.75
52006362,7.60,7.25,6.80,7.00,7.25,6.25
52006363,8.40,7.25,5.60,7.75,8.50,4.75
52006364,6.60,7.75,5.20,None,None,None
52006365,4.60,6.75,3.80,None,None,None
52006366,7.80,7.75,6.40,5.25,6.50,3.75
52006367,5.40,8.50,5.80,None,None,None
52006368,5.00,7.75,3.40,3.75,4.50,3.50
52006369,6.40,7.75,6.80,None,None,None
